epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7738,2.52931,3.30413,2.65533,0.00773,0.77273,0.0688,0.01029,2.92774,3.99421,3.99174,0.09604,4e-05,4e-05
2,15.2826,2.39229,3.2338,2.53195,0.00773,0.77273,0.07911,0.01503,3.29424,4.13529,4.0438,0.09109,8.9978e-05,8.9978e-05
3,20.839,2.29432,3.05496,2.34932,0.00727,0.72727,0.08461,0.02335,3.37821,4.27393,4.52967,0.0861399,0.000139863,0.000139863
4,26.7307,2.33496,3.07022,2.32833,0.00773,0.77273,0.03573,0.00884,3.44731,4.07609,5.07031,0.0811896,0.000189583,0.000189583
5,31.6122,2.3472,2.93107,2.29345,0.00773,0.77273,0.01797,0.00757,3.1135,4.06259,4.63958,0.0762391,0.000239063,0.000239063
6,37.2073,2.18628,2.77205,2.28159,0.00773,0.77273,0.04634,0.0179,2.59891,3.64661,3.31968,0.0712882,0.000288233,0.000288233
7,45.7054,2.16056,2.73691,2.25377,0.00909,0.90909,0.0222,0.00775,3.00097,3.74957,4.23548,0.066337,0.000337019,0.000337019
8,52.1995,2.19014,2.85206,2.31693,0.00773,0.77273,0.01137,0.0038,3.41252,4.50016,6.20862,0.0613854,0.000385351,0.000385351
9,61.5652,2.21625,2.80698,2.37454,0.01298,0.36364,0.00906,0.00291,3.48146,6.12351,6.03829,0.0564332,0.000433157,0.000433157
10,71.115,2.26716,2.80821,2.39794,0.01741,0.27273,0.01354,0.00343,3.17103,10.3241,4.54259,0.0514804,0.000480369,0.000480369
11,80.9067,2.15193,2.67699,2.3664,0.08854,0.27273,0.03993,0.00884,3.25503,7.55313,4.63225,0.0465269,0.000526917,0.000526917
12,90.1209,2.23153,2.72066,2.36462,0.15895,0.31818,0.1354,0.02262,2.78818,7.00447,3.53177,0.0415727,0.000572734,0.000572734
13,100.686,2.17192,2.76326,2.31672,0.20374,0.27273,0.13271,0.03019,2.63925,9.65251,3.34474,0.0366178,0.000617753,0.000617753
14,110.501,2.17703,2.79557,2.38074,0.07047,0.59091,0.07371,0.01562,2.9209,23.5439,3.8804,0.0316619,0.000661909,0.000661909
15,120.453,2.09779,2.65582,2.23817,0.11728,0.18182,0.13608,0.03139,2.61003,23.1381,3.44028,0.0267051,0.000705138,0.000705138
16,130.446,2.06762,2.70173,2.30187,0.16319,0.22727,0.1081,0.01964,2.58455,17.0619,3.53265,0.0217474,0.000747378,0.000747378
17,142.052,2.16833,2.67526,2.39321,0.10377,0.18182,0.09766,0.02093,2.55834,13.4211,3.61975,0.0167886,0.000788568,0.000788568
18,151.361,2.13309,2.62855,2.35473,0.03128,0.13636,0.02903,0.00843,2.45554,17.5369,3.67684,0.0118286,0.00082865,0.00082865
19,162.923,2.08416,2.60156,2.26234,0.05572,0.1129,0.03855,0.00871,2.19931,10.8766,3.18117,0.00686757,0.000867566,0.000867566
20,174.209,2.02676,2.66201,2.30291,0.02933,0.13636,0.01706,0.00495,2.39984,12.4489,3.08957,0.00190526,0.000905261,0.000905261
21,185.469,2.14759,2.66251,2.35399,0.03998,0.09091,0.02129,0.00722,2.37795,29.462,3.01946,0.000905463,0.000905463,0.000905463
22,197.343,1.97054,2.60426,2.18899,0.03756,0.04545,0.0205,0.00623,2.3885,62.9222,3.12769,0.000896127,0.000896127,0.000896127
23,211.877,2.14469,2.66467,2.31407,0.07158,0.09091,0.05397,0.01164,2.30377,36.7301,2.88396,0.000886404,0.000886404,0.000886404
24,226.874,2.0622,2.63125,2.32839,0.14713,0.13636,0.03185,0.00836,2.58382,42.4234,3.2325,0.000876305,0.000876305,0.000876305
25,240.926,2.13933,2.65708,2.32845,0.23176,0.13636,0.04214,0.01138,2.58148,45.0805,3.33117,0.000865839,0.000865839,0.000865839
26,258.154,2.11952,2.6638,2.32575,0.06474,0.13636,0.03766,0.00933,2.4241,19.875,3.1043,0.000855018,0.000855018,0.000855018
27,274.536,2.01914,2.60412,2.22345,0.14891,0.09091,0.0364,0.01079,2.39766,6.36476,2.94599,0.000843851,0.000843851,0.000843851
28,287.678,2.20619,2.60862,2.31806,0.08393,0.13636,0.0211,0.00803,2.60639,3.26258,3.03088,0.000832349,0.000832349,0.000832349
29,303.398,2.22142,2.62219,2.26974,0.04133,0.09091,0.01491,0.00334,2.88218,3.2976,3.39248,0.000820525,0.000820525,0.000820525
30,316.966,2.19011,2.59997,2.27267,0.04512,0.04545,0.00926,0.00339,2.93559,3.68719,3.46728,0.000808389,0.000808389,0.000808389
31,332.133,2.07438,2.52872,2.20079,0.04663,0.09091,0.01044,0.00268,2.70465,5.26348,3.04687,0.000795954,0.000795954,0.000795954
32,346.865,2.11637,2.52728,2.20183,0.02649,0.04545,0.0049,0.00117,2.24683,7.55306,2.46164,0.000783231,0.000783231,0.000783231
33,361.628,2.10718,2.51451,2.18591,0.20408,0.04545,0.0199,0.00979,2.02902,4.48501,2.38851,0.000770234,0.000770234,0.000770234
34,378.312,2.14142,2.53729,2.23194,0.13338,0.13636,0.06508,0.03346,2.24548,3.42633,2.62415,0.000756976,0.000756976,0.000756976
35,390.531,2.18108,2.57925,2.29735,0.18011,0.09091,0.06509,0.03183,2.19936,3.55941,2.49439,0.000743468,0.000743468,0.000743468
