epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.9832,1.95333,3.32743,2.56367,0.00302,1,0.06085,0.01834,1.71273,4.35817,3.1713,5.716e-05,5.716e-05,5.716e-05
2,42.9516,1.68911,3.15804,2.27732,0.00334,1,0.31542,0.14241,1.23921,3.95279,2.55356,0.000127337,0.000127337,0.000127337
3,49.6034,1.43193,2.78442,1.87421,0.00429,1,0.43302,0.19268,1.43776,3.97664,2.239,0.000196099,0.000196099,0.000196099
4,56.512,1.07897,2.32402,1.57935,0.00663,0.97619,0.415,0.2377,1.54253,3.93533,2.19402,0.000263446,0.000263446,0.000263446
5,63.5603,1.02539,2.09547,1.50235,0.00967,1,0.67363,0.47179,0.79435,3.5909,1.5174,0.000329379,0.000329379,0.000329379
6,70.6865,0.91157,1.83203,1.37759,0.00971,1,0.68256,0.40275,1.03412,3.57273,1.66755,0.000393897,0.000393897,0.000393897
7,76.9976,0.84573,1.64025,1.29818,0.00877,0.97619,0.75757,0.44353,1.22534,3.58363,1.76207,0.000457,0.000457,0.000457
8,85.4262,0.79687,1.44273,1.24829,0.89072,0.09798,0.60844,0.28973,1.48118,3.75928,2.05075,0.000518688,0.000518688,0.000518688
9,94.8373,0.87292,1.37966,1.34775,0.68685,0.30952,0.36938,0.25901,0.9944,3.07555,1.58448,0.000578962,0.000578962,0.000578962
10,103.468,0.87891,1.33788,1.28334,0.61348,0.2381,0.27037,0.18315,1.30249,3.5993,1.87695,0.000637821,0.000637821,0.000637821
11,111.556,0.7591,1.26237,1.2202,0.89239,0.19048,0.26377,0.20386,0.86374,3.40511,1.33478,0.000695266,0.000695266,0.000695266
12,119.79,0.76618,1.22241,1.25578,0.88333,0.2381,0.39748,0.24621,0.91669,2.87975,1.30932,0.000751295,0.000751295,0.000751295
13,129.244,0.77682,1.27879,1.25967,0.64307,0.54762,0.54646,0.35274,0.79279,2.59306,1.28699,0.00080591,0.00080591,0.00080591
14,137.445,0.74417,1.15345,1.21735,0.83507,0.54741,0.54621,0.35911,0.82478,2.52171,1.33746,0.000859111,0.000859111,0.000859111
15,146.772,0.78778,1.16957,1.21628,0.39441,0.39893,0.36917,0.08822,1.94176,3.72306,2.52443,0.000910896,0.000910896,0.000910896
16,155.13,0.79424,1.13404,1.25444,0.98203,0.33333,0.37193,0.16474,1.83427,3.82693,2.14529,0.000961267,0.000961267,0.000961267
17,163.69,0.84771,1.20165,1.34218,0.74145,0.36909,0.51048,0.33261,0.9302,3.31555,1.45165,0.00101022,0.00101022,0.00101022
18,172.288,0.72369,1.09696,1.18441,0.90235,0.45238,0.53627,0.36125,0.79921,3.05872,1.3778,0.00105776,0.00105776,0.00105776
19,180.896,0.77829,1.14875,1.23819,0.6482,0.54762,0.2707,0.21944,0.76869,3.32742,1.25898,0.00110389,0.00110389,0.00110389
20,189.634,0.69357,0.9948,1.19342,0.56886,0.54332,0.39455,0.23882,1.03294,3.84721,1.70514,0.0011486,0.0011486,0.0011486
21,198.405,0.77318,1.00325,1.23264,0.68714,0.48061,0.54132,0.2618,1.05387,3.45476,1.78469,0.00114606,0.00114606,0.00114606
22,206.987,0.76765,1.07153,1.2058,0.544,0.57143,0.26216,0.21491,0.75591,2.85809,1.35345,0.00113191,0.00113191,0.00113191
23,215.934,0.76323,1.11708,1.21354,0.4537,0.57143,0.26171,0.23224,0.69725,2.54273,1.24579,0.00111776,0.00111776,0.00111776
24,226.748,0.77483,1.03551,1.25884,0.75388,0.429,0.29222,0.20018,0.75126,2.36296,1.34229,0.00110362,0.00110362,0.00110362
25,238.853,0.62212,1.00287,1.20584,0.63207,0.5207,0.38239,0.28461,0.78854,2.10653,1.3502,0.00108947,0.00108947,0.00108947
