epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.5358,2.08144,3.69478,2.97861,0.84982,0.21429,0.28289,0.07231,1.61565,9.90866,3.16559,0.09604,4e-05,4e-05
2,57.8244,1.37846,1.84269,2.18586,0.84567,0.2619,0.2033,0.06304,1.25675,7.58309,2.70867,0.09109,8.9978e-05,8.9978e-05
3,90.5381,1.10336,1.50691,1.87601,0.11868,0.67405,0.26336,0.11802,1.75181,15.3888,3.59827,0.0861399,0.000139863,0.000139863
4,129.527,1.08713,1.27187,1.75365,0.18997,0.52381,0.35501,0.30207,0.8802,24.5628,2.15632,0.0811896,0.000189583,0.000189583
5,178.272,1.04346,1.10322,1.77247,0.07812,0.28571,0.08175,0.04357,1.93495,17.4258,3.39185,0.0762391,0.000239063,0.000239063
6,224.832,0.99621,1.2017,1.71362,0.00996,0.45238,0.00793,0.00403,2.51855,221.808,3.38012,0.0712882,0.000288233,0.000288233
1,14.6539,1.87797,2.9834,2.42131,0.59952,0.18894,0.26916,0.14328,1.46901,6.24704,2.47345,0.09802,2e-05,2e-05
2,29.271,1.25199,1.81249,1.76608,0.87804,0.33024,0.34393,0.22992,1.17104,3.49345,2.15026,0.09505,4.99878e-05,4.99878e-05
3,44.5689,0.98903,1.39912,1.44538,0.85255,0.33333,0.32384,0.20381,1.54097,4.50958,2.68797,0.0920799,7.99219e-05,7.99219e-05
4,62.3684,0.88944,0.95683,1.31633,0.2537,0.42857,0.3397,0.18877,1.56507,5.79533,2.83729,0.0891098,0.000109758,0.000109758
1,15.7448,1.95533,3.13596,2.50258,0.82509,0.21429,0.20906,0.07843,2.18706,4.16262,3.27426,0.09901,1e-05,1e-05
2,32.4114,1.45018,2.01067,1.99566,0.4496,0.21687,0.19397,0.12722,1.60561,7.37135,2.59877,0.09703,2.99927e-05,2.99927e-05
3,50.2979,1.11739,1.77667,1.60533,0.55416,0.33333,0.33238,0.23286,1.38166,4.99481,2.1329,0.09505,4.99512e-05,4.99512e-05
4,68.5541,0.86168,1.3638,1.37689,0.33272,0.69048,0.61845,0.35783,1.4036,8.04072,2.15623,0.0930698,6.98462e-05,6.98462e-05
5,87.4638,0.80232,1.01953,1.31914,0.89564,0.33333,0.33591,0.27009,0.81979,4.32443,1.37122,0.0910896,8.96487e-05,8.96487e-05
6,106.828,0.75408,0.84768,1.23452,0.46655,0.5,0.29158,0.2309,1.00491,6.37421,1.81348,0.0891093,0.00010933,0.00010933
7,128.821,0.77618,0.80681,1.23008,0.46059,0.33333,0.22849,0.19271,0.80126,5.61941,1.36337,0.0871289,0.00012886,0.00012886
8,148.539,0.83952,0.78585,1.23059,0.78423,0.09524,0.1085,0.0802,1.09561,6.28074,2.25347,0.0851482,0.000148212,0.000148212
9,169.553,0.75749,0.70334,1.19574,0.75464,0.19048,0.21432,0.15339,1.29622,6.32372,2.30691,0.0831674,0.000167356,0.000167356
10,190.805,0.83281,0.65253,1.22616,0.70011,0.28571,0.2845,0.2183,1.2133,10.3269,1.86544,0.0811863,0.000186266,0.000186266
1,13.4264,1.94195,3.01065,2.49941,0.84808,0.2381,0.23982,0.09886,1.7783,7.12751,3.31424,0.09802,2e-05,2e-05
2,26.9194,1.24554,1.83422,1.7838,0.04986,0.49978,0.08551,0.03545,1.79092,8.85569,2.96092,0.09505,4.99878e-05,4.99878e-05
3,40.8968,0.94813,1.23072,1.41711,0.1875,0.66667,0.26134,0.15518,1.47855,5.44435,2.57864,0.0920799,7.99219e-05,7.99219e-05
4,55.3969,0.85529,1.02517,1.28524,0.83492,0.28571,0.25293,0.14739,1.68461,4.74974,3.35712,0.0891098,0.000109758,0.000109758
5,71.5616,0.82276,0.9542,1.29095,0.11317,0.52381,0.13706,0.06281,2.33278,7.99877,3.98485,0.0861395,0.000139454,0.000139454
6,89.7718,0.89035,0.77611,1.32227,0.18168,0.71429,0.24428,0.153,2.4328,9.70694,4.10002,0.083169,0.000168964,0.000168964
7,109.043,0.82452,0.73367,1.24141,0.80898,0.2619,0.28217,0.21912,0.86448,4.35008,1.72995,0.0801982,0.000198246,0.000198246
8,127.191,0.81307,0.78258,1.24466,0.30433,0.21429,0.18524,0.15722,0.56175,6.08397,0.99731,0.0772273,0.000227258,0.000227258
9,143.245,0.84196,0.88839,1.22957,0.11999,0.57143,0.16783,0.1042,0.94407,21.4797,1.73186,0.074256,0.000255957,0.000255957
10,159.848,0.83118,0.81766,1.24378,0.2364,0.69048,0.35277,0.29148,0.6839,9.03649,1.23556,0.0712843,0.0002843,0.0002843
11,178.145,0.85179,0.74701,1.33647,0.11655,0.66667,0.34846,0.27218,0.73414,28.5309,1.56231,0.0683122,0.000312247,0.000312247
12,196.266,0.93247,0.83199,1.30703,0.73016,0.19048,0.24226,0.19266,0.715,34.3728,1.4822,0.0653398,0.000339758,0.000339758
13,216.751,0.83937,0.80692,1.27008,0.41392,0.11905,0.03182,0.00706,2.15308,89.6984,3.29979,0.0623668,0.000366791,0.000366791
14,237.276,0.88563,0.86863,1.33837,0.00034,0.02381,0.00019,4e-05,3.89592,7797.49,21.7379,0.0593933,0.000393308,0.000393308
15,258.606,0.91229,0.8473,1.29315,0.00034,0.02381,0.00019,4e-05,2.83769,34670.1,49.8318,0.0564193,0.000419271,0.000419271
16,280.669,0.9062,0.81356,1.30429,0.05556,0.33333,0.11056,0.02211,3.67126,49754.6,159.79,0.0534446,0.000444643,0.000444643
17,301.761,0.86666,0.93224,1.35273,0.00082,0.04762,0.00213,0.00032,3.43289,27517,69.1825,0.0504694,0.000469386,0.000469386
18,323.531,0.8021,0.78071,1.27518,0.00082,0.04762,0.00213,0.00032,5.15061,118860,1624.6,0.0474935,0.000493466,0.000493466
19,344.008,0.75489,0.71022,1.18743,0.00082,0.04762,0.00213,0.00032,3.8813,1.43585e+06,4997.64,0.0445168,0.000516848,0.000516848
20,366.395,0.85974,1.04169,1.32832,0.00082,0.04762,0.00213,0.00032,5.33665,119442,2020.45,0.0415395,0.000539499,0.000539499
21,390.488,0.82315,1.0308,1.27269,0.00082,0.04762,0.00213,0.00032,4.02679,69665.1,201.287,0.0385614,0.000561387,0.000561387
22,410.484,0.81258,0.89909,1.27758,0.00037,0.04762,0.00034,0.00014,3.82654,39594.8,111.898,0.0355825,0.000582482,0.000582482
23,431.361,0.8108,0.99728,1.28896,0.33387,0.04762,0.00033,0.00016,2.47386,8663.09,66.8193,0.0326028,0.000602755,0.000602755
24,451.111,0.88076,0.9414,1.32951,0.33376,0.04762,0.0003,9e-05,2.75363,11793,93.517,0.0296222,0.000622177,0.000622177
25,472.199,0.81161,0.92315,1.24568,0.00115,0.04762,0.00087,0.00026,3.94204,21182.3,475.436,0.0266407,0.000640721,0.000640721
26,492.541,0.85992,1.02367,1.29429,0.00115,0.04762,0.00087,0.00026,2.44156,48117.1,807.836,0.0236584,0.000658364,0.000658364
27,510.556,0.74628,0.84264,1.20033,0.00115,0.04762,0.00087,0.00026,3.63516,145085,15540.4,0.0206751,0.000675081,0.000675081
28,530.872,0.77845,0.83684,1.23997,0.00115,0.04762,0.00087,0.00026,6.23715,37598,244.063,0.0176908,0.00069085,0.00069085
29,551.837,0.92602,0.87171,1.31891,0.00115,0.04762,0.00087,0.00026,6.15394,12270,96.2984,0.0147057,0.000705651,0.000705651
30,572.343,0.85073,0.7974,1.28368,0.00115,0.04762,0.00087,0.00026,5.573,3247.54,75.3578,0.0117195,0.000719466,0.000719466
